2563.95,2563.95,2563.48,2564.42,2565.82,2563.01,2563.01,2563.01,65542,131090
2562.85,2563.01,2562.07,2563.63,2564.10,2561.13,2562.07,2562.70,65543,131092
2561.76,2561.44,2561.13,2563.32,2562.70,2559.72,2560.66,2562.23,65544,131094
2560.66,2560.66,2560.04,2563.48,2562.07,2559.72,2560.35,2562.38,65545,131096
2561.76,2561.91,2561.29,2563.79,2563.32,2561.13,2561.29,2562.85,65546,131098
2562.54,2562.70,2562.07,2563.79,2564.26,2562.07,2561.76,2563.32,65547,131100
2563.16,2563.32,2562.70,2564.10,2565.04,2563.16,2562.54,2563.63,65548,131102
2565.20,2565.35,2564.73,2564.57,2567.39,2565.04,2564.57,2563.63,65549,131104
2564.57,2564.73,2564.10,2564.57,2566.61,2563.95,2563.79,2563.32,65550,131106
2563.01,2563.01,2562.23,2563.79,2564.57,2561.76,2562.07,2562.85,65551,131108
2562.07,2561.76,2561.44,2563.63,2563.32,2560.35,2561.44,2562.54,65552,131110
2560.82,2560.66,2560.04,2563.48,2562.07,2559.41,2560.04,2562.38,65553,131112
2561.29,2561.29,2560.82,2563.63,2562.70,2560.35,2560.82,2562.54,65554,131114
2562.38,2562.38,2562.07,2563.79,2564.10,2561.76,2561.76,2562.70,65555,131116
2562.85,2563.01,2562.70,2564.10,2565.04,2563.01,2562.38,2563.48,65556,131118
2564.89,2565.20,2564.73,2564.42,2567.07,2564.89,2564.10,2563.63,65557,131120
2565.20,2565.04,2564.57,2564.42,2566.92,2564.42,2564.10,2563.63,65558,131122
2563.63,2563.48,2562.70,2563.95,2565.04,2562.23,2562.70,2563.01,65559,131124
2562.38,2562.23,2561.76,2563.63,2563.79,2560.66,2561.60,2562.54,65560,131126
2560.98,2560.82,2560.19,2563.48,2562.23,2559.41,2560.04,2562.38,65561,131128
2560.98,2561.13,2560.35,2563.32,2562.38,2559.72,2560.51,2562.54,65562,131130
2562.38,2562.23,2561.60,2563.79,2563.95,2561.44,2561.60,2562.70,65563,131132
2562.70,2562.70,2562.23,2563.79,2564.42,2562.23,2561.91,2563.01,65564,131134
2563.95,2564.26,2563.79,2564.42,2566.14,2564.10,2563.48,2563.63,65565,131136
2565.04,2565.51,2564.73,2564.42,2567.23,2564.89,2564.57,2563.79,65566,131138
2563.95,2563.95,2563.48,2564.10,2565.82,2562.85,2563.16,2563.16,65567,131140
2562.70,2562.85,2562.07,2563.79,2564.26,2561.44,2562.07,2562.85,65568,131142
2561.44,2561.60,2561.13,2563.48,2562.85,2559.57,2560.66,2562.23,65569,131144
2560.82,2560.82,2560.19,2563.48,2562.07,2559.57,2560.04,2562.38,65570,131146
2561.76,2562.23,2561.13,2563.63,2563.32,2561.13,2561.44,2562.70,65571,131148
2562.54,2562.70,2562.23,2563.79,2564.26,2562.07,2561.91,2562.85,65572,131150
